"filename", "language", "Dart", "YAML", "comment", "blank", "total"
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\films_filtered\films_filtered_page.dart", "Dart", 78, 0, 0, 5, 83
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\home\home_page.dart", "Dart", 227, 0, 0, 14, 241
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\home\widgets\actor_birth_day_card.dart", "Dart", 68, 0, 0, 5, 73
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\home\widgets\add_to_wach_list.dart", "Dart", 28, 0, 0, 4, 32
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\home\widgets\film_card.dart", "Dart", 112, 0, 0, 10, 122
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\personal\appearance_page.dart", "Dart", 164, 0, 0, 9, 173
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\personal\personal_page.dart", "Dart", 81, 0, 0, 6, 87
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\personal\settings_page.dart", "Dart", 85, 0, 0, 5, 90
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\search\main_pages\search_page.dart", "Dart", 245, 0, 0, 13, 258
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\search\main_pages\search_result_page.dart", "Dart", 350, 0, 5, 27, 382
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\search\sub_pages\top_250_movies_page.dart", "Dart", 37, 0, 0, 3, 40
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\search\widgets\search_text_field.dart", "Dart", 36, 0, 0, 3, 39
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\video\video_page.dart", "Dart", 132, 0, 0, 6, 138
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\views\pages\video\video_watch_page.dart", "Dart", 282, 0, 0, 20, 302
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\pubspec.yaml", "YAML", 0, 8, 0, 2, 10
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\test\widget_test.dart", "Dart", 0, 0, 0, -1, -1
"Total", "-", 6904, 8, 144, 716, 7772
