"filename", "language", "C++", "JSON", "HTML", "CMake", "Dart", "Markdown", "YAML", "Gradle", "Java Properties", "XML", "Swift", "comment", "blank", "total"
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\box_office\box_office_details.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\box_office\box_office_items.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 5, 42
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\box_office_of_all_time\box_office_of_all_time_details.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\box_office_of_all_time\box_office_of_all_time_items.dart", "Dart", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 5, 50
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\faq\faq_details.dart", "Dart", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 7, 49
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\faq\faq_details.g.dart", "Dart", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 4, 7, 45
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\film\film_details\film_details.dart", "Dart", 0, 0, 0, 0, 290, 0, 0, 0, 0, 0, 0, 1, 91, 382
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\film\film_details\film_details.g.dart", "Dart", 0, 0, 0, 0, 263, 0, 0, 0, 0, 0, 0, 4, 25, 292
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\film\film_sub_details\film_sub_details.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\film\film_sub_details\film_sub_items.dart", "Dart", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 4, 55
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\film_award\film_award_details.dart", "Dart", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 15, 94
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\film_award\film_award_details.g.dart", "Dart", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 4, 11, 82
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\full_cast\full_cast_details.dart", "Dart", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 12, 50
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\full_cast\full_cast_details.g.dart", "Dart", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 4, 5, 44
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\image\image_details.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 15, 55
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\image\image_details.g.dart", "Dart", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 4, 7, 42
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\imdb_list\imdb_list_details.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\in_theaters\new_film_details.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\in_theaters\new_fim_items.dart", "Dart", 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 13, 149
"d:\IMDB_full_clone\New folder\xxxx\IMDb_full_clone\lib\view_models\metacritic_reviews\metacritic_reviews_details.dart", "Dart", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 9, 74
